ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON,TAGS
SpaceLight,,https://doi.org/10.1021/acs.jcim.0c00850,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/spacelight.html,Chemical Space,Chemical Space Search,,,Topological Similarity Search in Large Combinatorial Fragment Spaces,,,,,35,Journal of Chemical Information and Modeling,5.6,material/search-web,"chemical space, chemical space search"
SpaceMACS,,https://doi.org/10.1021/acs.jcim.1c00640,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/spacemacs.html,Chemical Space,Chemical Space Search,,,Maximum Common Substructure Searching in Combinatorial Make-on-Demand Compound Spaces,,,,,37,Journal of Chemical Information and Modeling,5.6,material/search-web,"chemical space, chemical space search"
USearch,https://github.com/ashvardanian/usearch-molecules,,,,Chemical Space,"Chemical Space Search, Precomputed Libraries",,,,73,2024-03-24T06:02:11.000Z,,,,,,material/search-web,"chemical space, chemical space search"
Dedenser,https://github.com/MSDLLCpapers/dedenser,https://doi.org/10.1021/acs.jcim.4c01980,,,Chemical Space,Clustering,,,Clustering and Downsampling Chemical Libraries,10,2025-02-12T21:56:06.000Z,,,0,Journal of Chemical Information and Modeling,5.6,material/set-merge,"chemical space, clustering"
HamDiv,https://github.com/HXYfighter/HamDiv,https://doi.org/10.1186/s13321-024-00883-4,,,Chemical Space,Diversity Determination,,,effectively measuring molecular diversity by shortest Hamiltonian circuits,7,2024-06-26T15:42:28.000Z,6 months ago,,0,Journal of Cheminformatics,7.1,material/account-multiple-outline,"chemical space, diversity determination"
Schapira et al.,,https://doi.org/10.1016/j.sbi.2024.102812,,https://www.sciencedirect.com/science/article/pii/S0959440X24000393?via%3Dihub,Chemical Space,Reviews,,,Emerging structure-based computational methods to screen the exploding accessible chemical space,,,,,6,Current Opinion in Structural Biology,6.1,material/message-draw,"chemical space, review"
ChemPlot,https://github.com/mcsorkun/ChemPlot,https://doi.org/10.1002/cmtd.202200005,,,Chemical Space,Visualisation,,,python library for chemical space visualization,138,2024-12-17T13:11:13.000Z,1 months ago,,35,Chemistry�Methods,6.1,material/cctv,"chemical space, visualization"
CIME,https://github.com/jku-vds-lab/cime,https://doi.org/10.1186/s13321-022-00600-z,,,Chemical Space,Visualisation,,,allows users to interactively explore a fixed subspace of chemical compounds,33,2022-04-19T07:07:19.000Z,33 months ago,,18,Journal of Cheminformatics,7.1,material/cctv,"chemical space, visualization"
Datagrok,,,,https://datagrok.ai,Chemical Space,"Visualisation, Matched Molecular Pairs, Biopolymer handling, Dimensionality reduction, DSTA cycle management, Interactive Modelling, Descriptors, Fingerprints, 3D visualization tools, Binding + Docking Poses, Interactive Plots",,,Chemical space visualisations in Datagrok,,,,,,,,material/cctv,"chemical space, visualization, matched molecular pair (MMP), dimensionality reduction, dsta cycle management, descriptor, fingerprint (FP), interactive plot"
MolCompass,https://github.com/sergsb/molcomplib,https://doi.org/10.1186/s13321-024-00888-z,,,Chemical Space,"Visualisation, QSAR|QSPR",Visualisation,,multi-tool for the navigation in chemical space and visual validation of QSAR|QSPR models,3,2024-08-13T08:40:12.000Z,5 months ago,,0,Journal of Cheminformatics,7.1,material/cctv,"chemical space, visualization, QSAR + QSPR"
Datagrok Bio,,,,"https://github.com/datagrok-ai/public/blob/74ca4a65d75f75f8bdadc84ecd399bc93d5a419c/packages/Bio/README.md#notations
https://github.com/datagrok-ai/public/blob/4b6dfb43d88d3cb43ea587841a14e77cdea55b43/packages/Chem/README.md#molecular-format-conversion
https://datagrok.ai/help/datagrok/solutions/domains/bio/oligo-toolkit#nucleotide-batch-conversion",Cheminformatics,Chemical Format Translation,,,Chemical format translation in Datagrok,,,,,,,,material/translate-variant,"cheminformatics, chemical format translation"
Meeko,https://github.com/forlilab/Meeko,https://doi.org/10.1017/qrd.2022.18,,,Cheminformatics,Chemical Format Translation,,,preparation of small molecules for AutoDock suite (.pdbqt format).,230,2024-11-18T23:15:45.000Z,2 months ago,,7,QRB Discovery,,material/translate-variant,chemical format translation
NAOMI,,https://doi.org/10.1021/ci200324e,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/naomi.html,Cheminformatics,Chemical Format Translation,,,"consistent conversion of common chemical file formats (SDF, SMILES, MOL2)",,,,,54,Journal of Chemical Information and Modeling,5.6,material/translate-variant,chemical format translation
OpenBabel,,https://doi.org/10.1186/1758-2946-3-33,,http://openbabel.org/wiki/Main_Page,Cheminformatics,"Chemical Format Translation, Python",,,"toolkit for drug discovery, file format etc (standalone)",,,,,6757,Journal of Cheminformatics,7.1,material/translate-variant,chemical format translation
pybel,,https://doi.org/10.1186/1752-153X-2-5,,https://openbabel.org/docs/UseTheLibrary/Python_Pybel.html,Cheminformatics,Chemical Format Translation,,,Python wrapper for the OpenBabel cheminformatics toolkit,,,,,308,Chemistry Central Journal,,material/translate-variant,"chemical format translation, conformer generation"
Unicon,,,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/unicon.html,Cheminformatics,"Chemical Format Translation, Classical",,,"from file conversion between standard formats SDF, MOL2, SMILES, and PDB via the generation of 2D structure coordinates and 3D structures to the enumeration of tautomeric forms, protonation states and conformer ensembles",,,,,,,,material/translate-variant,
ChemFormula,https://github.com/molshape/ChemFormula,https://doi.org/10.1021/ja02046a005,,,Cheminformatics,Chemical Formulas,,,ON A SYSTEM OF INDEXING CHEMICAL LITERATURE; ADOPTED BY THE CLASSIFICATION DIVISION OF THE U. S. PATENT OFFICE.,24,2022-01-18T08:50:18.000Z,36 months ago,,103,Journal of the American Chemical Society,14.4,material/format-subscript,"cheminformatics, coordinate"
chemcoord,https://github.com/mcocdawc/chemcoord,https://doi.org/10.1002/jcc.27029,,,Cheminformatics,Coordinates,,,A python module for coordinates of molecules,78,2025-03-07T22:55:34.000Z,0 months ago,,10,Journal of Computational Chemistry,3.4,material/axis-arrow,cheminformatics
Chemaxon,,,,https://www.chemaxon.com/,Cheminformatics,General Tools,,,numerous tools for small molecules (standalone).,,,,Commercial,,,,material/molecule,cheminformatics
Datagrok Cheminformatics,,,,https://datagrok.ai/help/datagrok/solutions/domains/chem/,Cheminformatics,General Tools,,,Cheminformatics functions in Datagrok,,,,,,,,material/molecule,"cheminformatics, visualization"
DataWarrior,,,,http://www.openmolecules.org/datawarrior/,Cheminformatics,"General Tools, SDF files",,,numerous tools (standalone).,,,,,,,,material/molecule,"cheminformatics, chemical space search, chemical library generation, data management, dimensionality reduction, docking, descriptor, fingerprint (FP), scaffold"
LillyMol,https://github.com/elilillyco/LillyMol,,,,Cheminformatics,General Tools,,,Eli Lilly set of cheminformatic tools (standalone),101,2024-08-14T20:54:24.000Z,5 months ago,,,,,material/molecule,cheminformatics
MayaChemTools,http://www.mayachemtools.org/,,,,Cheminformatics,"General Tools, Other",,,"Cheminformatics tool kit. A growing collection of Perl and Python scripts, modules, and classes to support a variety of day-to-day computational discovery needs (standalone)",,,,,,,,material/molecule,cheminformatics
CDK,https://sourceforge.net/projects/cdk/,,,https://cdk.github.io/,Cheminformatics,Java,,,"toolkit for drug discovery, descriptors (standalone)",,,,,,,,fontawesome/brands/java,"cheminformatics, java"
OpenChemLib,https://github.com/Actelion/openchemlib,,,,Cheminformatics,Java,,,Cheminformatics tool kit. Fully Automated Creation of Virtual Chemical Fragment Spaces Using the Open-Source Library OpenChemLib (standalone),94,2025-03-15T03:05:56.000Z,0 months ago,,,,,fontawesome/brands/java,"cheminformatics, fragment library generation"
nmrglue,https://github.com/jjhelmus/nmrglue,https://doi.org/10.1007/s10858-013-9718-x,,,Cheminformatics,NMR,,,Nmrglue: an open source Python package for the analysis of multidimensional NMR data,220,2024-10-29T21:08:56.000Z,2 months ago,,282,Journal of Biomolecular NMR,2.4,material/magnet-on,NMR
PDBe CCDUtils,,,,https://pdbeurope.github.io/ccdutils/,Cheminformatics,PDB,,,A small molecules chemistry toolkit using RDKit for the Protein Data Bank,,,,,,,,material/bio,cheminformatics
CDPKit,https://github.com/molinfo-vienna/CDPKit,https://doi.org/10.1021/acs.jcim.3c00563,,,Cheminformatics,Python,,,High-Quality Conformer Generation (standalone).,84,2025-03-13T09:19:34.000Z,0 months ago,,11,Journal of Chemical Information and Modeling,5.6,material/snake,"pharmacophore, pharmacophore model generation, shape similarity, conformer generation, tautomer generation, cheminformatics"
chemfunc,https://github.com/swansonk14/chemfunc,,,,Cheminformatics,Python,,,Useful functions and scripts for working with small molecules.,47,2025-01-17T00:10:59.000Z,0 months ago,,,,,material/snake,"cheminformatics, chemical format translation, diversity determination, dimensionality reduction, similarity calculation, clustering"
Chython,https://github.com/chython/chython,,,,Cheminformatics,Python,,,Library for processing molecules and reactions in python way.,42,2025-02-21T07:50:01.000Z,2 months ago,,,,,material/snake,"chemical reaction, cheminformatics, chemical format translation"
cinfony,https://github.com/cinfony/cinfony,,,http://cinfony.github.io/,Cheminformatics,Python,,,,,,,,,,,material/snake,cheminformatics
ODDT,https://github.com/oddt/oddt,https://doi.org/10.1186/s13321-015-0078-2,,,Cheminformatics,Python,,,"Open Drug Discovery Toolkit, toolkit for drug discovery (standalone)",431,2022-02-03T17:55:07.000Z,36 months ago,,166,Journal of Cheminformatics,7.1,material/snake,"cheminformatics, docking, scoring function (SF), fingerprint (FP), protein-ligand interaction fingerprint (PLIF), shape similarity, electrostatic similarity, performance metric"
RDKit,https://github.com/rdkit/rdkit,,,https://www.rdkit.org/,Cheminformatics,"Python, Fingerprints",,,The RDKit is a collection of cheminformatics and machine-learning software written in C++ and Python.,2826,2025-03-11T05:14:44.000Z,0 months ago,,,,6.8,material/snake,"cheminformatics, python, fingerprint (FP), performance metric, conformer generation, chemical format translation, descriptor, standardization, RDKit"
rdkit-scripts,https://github.com/DrrDom/rdkit-scripts,,,,Cheminformatics,Python,,,rdkit scripts making life easier (standalone),66,2025-01-08T12:23:53.000Z,0 months ago,,,,,material/snake,"cheminformatics, python, RDKit"
useful-rdkit-utils,https://github.com/PatWalters/useful_rdkit_utils,,,,Cheminformatics,Python,,,A collection of useful RDKit functions,155,2025-03-13T14:35:38.000Z,0 months ago,,,,,material/snake,"cheminformatics, python, RDKit"
ChemPy,https://github.com/bjodah/chempy,https://doi.org/10.21105/joss.00565,,,Cheminformatics,Reaction Tools,,,ChemPy: A package useful for chemistry written in Python,574,2024-04-24T16:35:22.000Z,9 months ago,,22,Journal of Open Source Software,,material/flask,"cheminformatics, reaction tool, kinetics, equilibrium"
Python tools for structural tasks in chemistry,,https://doi.org/10.1007/s11030-024-10889-7,,https://link.springer.com/article/10.1007/s11030-024-10889-7,Cheminformatics,Reviews,,,Review on various python packages for chemistry,,,,,1,Molecular Diversity,3.9,material/message-draw,"review, cheminformatics, python"
maize,https://github.com/MolecularAI/maize,,,,Cheminformatics,Workflow Managers,,,a graph-based workflow manager for computational chemistry pipelines,45,2024-10-23T13:13:50.000Z,2 months ago,,,,,material/sitemap-outline,"workflow manager, cheminformatics"
BitBIRCH,https://github.com/mqcomplab/bitbirch,https://doi.org/10.1101/2024.08.10.607459,,,Clustering,Clustering,,,Efficient clustering of large molecular libraries,47,2025-03-15T00:39:33.000Z,1 months ago,,0,,,material/set-merge,clustering
molli,https://github.com/SEDenmarkLab/molli,https://doi.org/10.1021/acs.jcim.4c00424,,,Combinatorial Chemistry,"Combinatorial Chemistry, Classical, Descriptors",QM,,"molli: A General Purpose Python Toolkit for Combinatorial Small Molecule Library Generation, Manipulation, and Feature Extraction",57,2024-10-29T16:19:29.000Z,2 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/vector-combine,"combinatorial chemistry, cheminformatics"
Scaffold Splits Overestimate Virtual Screening Performance,,https://doi.org/10.1007/978-3-031-72359-9_5,,,Compound Library Handling,Data splitting,Article,,,,,,,3,Lecture Notes in Computer Science,,material/arrow-split-horizontal,"splitting, article"
Some Thoughts on Splitting Chemical Datasets,,,,https://practicalcheminformatics.blogspot.com/2024/11/some-thoughts-on-splitting-chemical.html,Compound Library Handling,Data splitting,Blog Post,,Pat Walters on data splitting,,,,,,,,material/arrow-split-horizontal,"splitting, blog post"
splito,https://github.com/datamol-io/splito,,,https://splito-docs.datamol.io/stable/tutorials/The_Basics.html,Compound Library Handling,Data splitting,,,,27,2024-07-03T16:46:16.000Z,6 months ago,,,,,material/arrow-split-horizontal,splitting
lightweight-registration,https://github.com/rinikerlab/lightweight-registration,https://doi.org/10.1021/acs.jcim.4c01133,,,Compound Library Handling,"Database Management, Comp Chem Data Management",,,a lightweight chemical registration system,69,2025-03-14T15:43:40.000Z,0 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/database-cog,data management
pyCheckmol,https://github.com/jeffrichardchemistry/pyCheckmol,,,,Compound Library Handling,"Library Filtering, Descriptors",Functional Groups,,"application for detecting functional groups of a molecule, created using features from the compiled checkmol",11,2023-07-17T11:34:04.000Z,18 months ago,,,,,material/database-edit,functional group
DataBuster,,,https://lnkd.in/eE-DvxCt,,Compound Library Handling,Library Filtering,General,,"chirality, duplicates, peptide-like and macrocycle-like structures, and PAINS alerts",,,,,,,,material/database-edit,"PAINS, molecule filtering"
BADGER,,https://doi.org/10.1021/acs.jcim.4c00363,https://molmodlab-aau.com/Tools.html,,Compound Library Handling,"Library Filtering, Diffusion","Structural Alerts, Binding Affinity",Aggregators,Detection of Small Colloidal Aggregating Molecules Using the BAD Molecule Filter,,,,,0,Journal of Chemical Information and Modeling,5.6,material/database-edit,"aggregator, molecule filtering, structural alert"
adme-pred-py,https://github.com/ikmckenz/adme-pred-py,,,,Compound Library Handling,Library Filtering,Structural Alerts,,,34,2023-03-27T01:34:43.000Z,22 months ago,,,,,material/database-edit,"molecule filtering, admet, structural alert"
ChemFH,,https://doi.org/10.1093/nar/gkae424,https://chemfh.scbdd.com/,,Compound Library Handling,Library Filtering,Structural Alerts,,predicts potential frequent hitters across various parameters.,,,,,0,Nucleic Acids Research,16.6,material/database-edit,"PAINS, molecule filtering, structural alert"
medchem,https://medchem-docs.datamol.io/stable/,,,,Compound Library Handling,Library Filtering,Structural Alerts,,Python library that proposes molecular filters and prioritization rules for a wide range of use cases relevant in drug discovery.,,,,,,,,material/database-edit,"molecule filtering, structural alert, PAINS"
pySmash,https://github.com/kotori-y/pySmash,https://doi.org/10.1093/bib/bbab017,,,Compound Library Handling,Library Filtering,Structural Alerts,,Python package and software for structural alerts generation and application,17,2021-06-17T02:23:00.000Z,43 months ago,,11,Briefings in Bioinformatics,6.8,material/database-edit,"structural alert, PAINS"
